name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,R2_seed_1,R2_seed_2,R2_seed_3,R2_seed_4,R2_seed_5,R2_seed_6,R2_seed_7,R2_seed_8,R2_seed_9,skew,kurtosis
1-cities_,0.561553479455893,0.11510237916235748,8.602362343863714,2.066928558851733,15.831205532907546,2.0785384658378914,0.623646573508774,0.7358233795418502,0.8524422353723766,0.5377230903308872,0.5070827455778453,0.49975819104358354,0.35266113597888726,0.6961994962836902,0.5993219305248481,0.7369295357671006,0.6941965019677778,0.44608093370002444,0.545581233384285,0.019962710686573338,6.865536602176965
2-cities_,0.6089228350877834,0.10381629626015923,8.720955412196428,2.472460576556072,15.840935823402006,2.5901931411827626,0.6230236354532173,0.7296705076518772,0.8450650775029185,0.4192054722826468,0.5442166530773009,0.6860607571705686,0.7071019444959541,0.7322395303046912,0.5705915362716707,0.6937527191352413,0.6919099018820832,0.46655514789679176,0.5775946883608867,0.019768754736261572,6.775094361065325
424-cities_,0.6325388596481245,0.00016834795633333086,10.093448676503623,0.004817731561152571,16.086962001787946,0.0036850477293723246,0.500667692132399,0.6851683472910615,0.8380831141813824,0.6328572851890981,0.6326668751392899,0.6322445074074377,0.6324390898304542,0.6325109817949308,0.6325904234984878,0.6326856384682809,0.632560443030003,0.6323338305204762,0.6324995216027856,-0.2173207584518378,3.9244189109420056
256-cities_,0.6412535477016712,0.01450824921544562,9.597119718398488,0.16473760542910848,15.691925595994146,0.18794988031373522,0.5331350300564549,0.7044073407251032,0.846291202938129,0.6139598595412765,0.6398111535719637,0.6505172928883457,0.6320755313809867,0.6318686625002097,0.6685679267516484,0.6508157846400213,0.6290793716416678,0.644374949969913,0.6514649441306801,-0.22254614918733812,4.375709015160731
4-cities_,0.6439808533602019,0.08118106268176116,7.560183961057577,1.6830768461967878,14.578194210060952,2.0140645878692616,0.6722224066112216,0.7697343026648054,0.8702140361878387,0.7711790377430219,0.5431423350002295,0.7294044370837771,0.7222277902765308,0.6437056373632204,0.5666816903187312,0.6545623572045031,0.6994301685039443,0.5318735549561462,0.5776015251519151,-0.04758264302180659,7.641272582793694
128-cities_,0.6564888527192135,0.030458184212433972,9.09964915642994,0.48812856480709427,15.341881851397591,0.5355811673046085,0.5677932407234303,0.7232994984470096,0.854008844379053,0.6156114739764058,0.6817475678509467,0.6438494066213678,0.672572772573222,0.633672474278657,0.6990531399439833,0.6886207861633471,0.6381631003511865,0.6096018799401981,0.681995925492821,-0.20477513699504057,4.966396422159026
8-cities_,0.6611966386420172,0.057249973887279225,7.729939818811855,1.5136874728832301,14.633681896569621,1.5829730933648805,0.6608860087245619,0.764400204570553,0.8688912369982938,0.6721471870640727,0.5081295042324584,0.7084992528528502,0.7045624869384836,0.6746128978264345,0.6183351765812062,0.7015952529919521,0.6658988010659532,0.659140642534719,0.699045184332042,-0.07185834724959568,7.181717147543516
16-cities_,0.662707961947568,0.0712772380501806,7.799105964261628,1.3476116033386596,14.569921964404013,1.5468305310343788,0.6574204590167504,0.7660308554463114,0.8704071651248197,0.6662082246586214,0.49843342303806626,0.7408557714817174,0.6660074678610755,0.628909367265073,0.7766338667392827,0.673214063338474,0.7045493208154051,0.6240256985307877,0.6482424157471771,-0.08931597300285507,7.1393861080107826
64-cities_,0.6744544873428863,0.02691854512146429,8.281989223083405,0.5859011826968253,14.682959187090798,0.6224820729620831,0.6179251738544925,0.752595102229107,0.8677334721254939,0.6618748905741397,0.7197735409628946,0.7024686383816676,0.6727785559407282,0.6406626365437343,0.6766534089581009,0.6963289015068956,0.6337029875002761,0.6486626209787003,0.6916386920817256,-0.16751019610844825,6.058165277078399
32-cities_,0.6835595452513445,0.05721886105843684,7.919229750289827,1.099374234660765,14.492966163977693,1.2201683291113707,0.6445498812761186,0.7641342334602483,0.8717188277934769,0.6945638877731857,0.7816459946175834,0.742963950180497,0.6005387001443454,0.6720372332361522,0.7287060544793109,0.6275205394841166,0.685707166649697,0.6002871910922061,0.7016247348563511,-0.11913659775697247,6.838316818948388
1024-cities_,0.5627208540375583,0.0001319055035018127,12.091902711222101,0.0032806838741860247,18.430131491200306,0.002779648161101318,0.4186190138137517,0.6134197325731727,0.7983346877301509,0.562627489486728,0.562849002579334,0.5625658774511368,0.5627984678392774,0.5627173266844399,0.5626474855692967,0.5628921066101169,0.5628670792427354,0.5627686562897959,0.5624750486227228,-0.3267324515415476,3.0635075373510814
512-cities_,0.6174843882929595,0.00012854650350617607,10.44495210876038,0.003848229464991728,16.52304898985632,0.002776341442826028,0.4859716922890701,0.6725599690212326,0.8312779638884826,0.617588965211482,0.6174964162058125,0.6173347063689834,0.6176134476663351,0.617413282141748,0.6174239737089694,0.6173783001195877,0.6176764382683604,0.6172903795878331,0.6176279736504845,-0.2629835090810603,3.7919932077807132