country,city,distance,age,height,FootprintArea,Perimeter
Netherlands,Bunschoten,16,0.5368736734029828,0.4270827861664911,0.006254217960213162,0.11235409734631194
Netherlands,Bunschoten,32,0.47260225878257545,0.13765709125426287,0.00837409559508071,0.1208897767573302
Netherlands,Bunschoten,64,0.3575228786944669,0.09659605281308077,0.027532903887113745,0.20165585812708137
Netherlands,Bunschoten,128,0.24812446473990896,0.06719639971668917,0.04084142055409701,0.20675180930665304
Netherlands,Bunschoten,256,0.14792392048634057,0.048322280635159,0.25423253711351473,0.24133369355662773
Netherlands,Bunschoten,512,0.07354157858180706,0.027075623369212296,0.0626716207901119,0.12442360887801207
Netherlands,Bunschoten,1024,0.03750424914613009,0.010611462641667653,0.0184719638440262,0.06334154995346569
Netherlands,Staphorst,16,0.3192295372899648,0.3712055547925993,0.04561985805112329,0.12752719401829996
Netherlands,Staphorst,32,0.3349277791046239,0.15226650619655896,0.04454278743934049,0.11845222795208345
Netherlands,Staphorst,64,0.3086981911152686,0.1534524581115111,0.09137653874490405,0.18874373770440792
Netherlands,Staphorst,128,0.26922488365622876,0.1457278154926162,0.16930988694378657,0.21846269712828836
Netherlands,Staphorst,256,0.22780340378916333,0.12129181553475817,0.13336705481435404,0.17604209602490614
Netherlands,Staphorst,512,0.18061814071461263,0.10412248697042564,0.10852266454821508,0.12949477305108784
Netherlands,Staphorst,1024,0.11401853832830895,0.07167951294271076,0.04091483586836209,0.06459727899268417
Netherlands,Zijpe,16,0.4049846636127537,0.21506569221513885,0.04791484035147315,0.13999940532256538
Netherlands,Zijpe,32,0.4522270865841722,0.12357115568158793,0.06064660940226925,0.15284167997552806
Netherlands,Zijpe,64,0.3969165283020751,0.10390414777949582,0.1529575590770579,0.24410251620729717
Netherlands,Zijpe,128,0.3093361049442198,0.08678607517448221,0.1463923996284962,0.21862414763742444
Netherlands,Zijpe,256,0.22609161920603155,0.559379618522951,0.09920228087889783,0.16048667317764911
Netherlands,Zijpe,512,0.1426173922415724,0.1942823595748892,0.09763806892953217,0.13688099644158566
Netherlands,Zijpe,1024,0.07471666540934999,0.06419893782992526,0.07235163669051244,0.09880891618609663
France,Cozes,16,0.7251375297046395,0.5363649692203778,0.15610986564198656,0.2012683805318139
France,Cozes,32,0.6060892340671741,0.3708006875128954,0.0981303110487227,0.11450415853490443
France,Cozes,64,0.5043642593180466,0.2967269301235112,0.1255347440091388,0.12794905554855082
France,Cozes,128,0.3860551998282369,0.21259172148725938,0.11466023975975725,0.1117205307065965
France,Cozes,256,0.277068377096354,0.15061678460125044,0.09736006383995749,0.08876213834130411
France,Cozes,512,0.20753916188813054,0.10470444783663563,0.0715151802733131,0.06412694791732146
France,Cozes,1024,0.17111136547493844,0.06962425741004502,0.05483902474234879,0.04736951191625166
France,Mèze,16,0.8868341706731252,1.0236019527004847,0.1400869891241969,0.24595855797684796
France,Mèze,32,0.6410066663312172,0.7435431857761207,0.11966815187009149,0.18317074176792822
France,Mèze,64,0.5939888874813046,0.6642701971959647,0.20533411285581474,0.2314767058449791
France,Mèze,128,0.5499304860181985,0.6023806971347258,0.18484304590983114,0.17760403118308207
France,Mèze,256,0.4554242885050547,0.5133476722008431,0.1187509627747894,0.1212021034610705
France,Mèze,512,0.24819486301615137,0.31802484509216317,0.05811109973920722,0.06289469755303337
France,Mèze,1024,0.08924134075615266,0.12266244383075063,0.022500301240400714,0.02693120186825306
France,Étables-sur-Mer,16,0.7965092034033981,0.48637510608465145,0.052331742062613984,0.14122867853883284
France,Étables-sur-Mer,32,0.5757183922613587,0.31519557308690493,0.039714462005043534,0.09719384988590266
France,Étables-sur-Mer,64,0.4087882796143793,0.2743420138634965,0.07851856950181503,0.11873357053524194
France,Étables-sur-Mer,128,0.28067317425394683,0.24118724669637442,0.04005404254783396,0.07195264294899882
France,Étables-sur-Mer,256,0.18640367443284528,0.20828776817041825,0.021066107284045295,0.04075698984960033
France,Étables-sur-Mer,512,0.09487627777702254,0.17578336852956705,0.006658656703222987,0.0195947918926377
France,Étables-sur-Mer,1024,0.03495370634633211,0.1345936495555588,0.0028317874578817352,0.011994235217811271
Spain,Baza,16,0.7659979734781859,0.510335707956124,0.06845833900324858,0.13634479822398254
Spain,Baza,32,0.6323638017655991,0.5357998317250262,0.12432077269798686,0.1629238628901359
Spain,Baza,64,0.530975545193848,0.49985659042571123,0.16241288677215718,0.18290443603789433
Spain,Baza,128,0.4203078899688592,0.444842867088767,0.14796310285981382,0.14970554576023662
Spain,Baza,256,0.3137970466847569,0.4005596019451981,0.12045841521021212,0.11284661226655904
Spain,Baza,512,0.20465782946193845,0.35418704931567807,0.08785037975763055,0.08379645955559045
Spain,Baza,1024,0.1263204928231341,0.24068049148506035,0.05574065630894501,0.05106916980854695
Spain,Crevillent,16,0.9130131322571465,0.6458435719120343,0.05214840588441292,0.1293739653230667
Spain,Crevillent,32,0.6716354113855912,0.5775336258786371,0.08247418902311573,0.1761373321062608
Spain,Crevillent,64,0.560635524007389,0.5148779766561603,0.22639389939680302,0.3105086850881618
Spain,Crevillent,128,0.4879886771436786,0.44255101020795484,0.2971120554595605,0.31520318057154684
Spain,Crevillent,256,0.4281625985935543,0.3891886032229726,0.24453430297343487,0.26963755535185513
Spain,Crevillent,512,0.3508597784713149,0.33517079467194955,0.17244873994416451,0.2020638741406192
Spain,Crevillent,1024,0.20708422910801987,0.23354223222588902,0.08531045185063298,0.1061986757136652
Spain,Pilar de la Horadada,16,0.7964809471225646,0.2735527210965696,0.03479372483027794,0.2032658117662546
Spain,Pilar de la Horadada,32,0.6363531656056672,0.3173375087701381,0.04136660184528582,0.21678190357355626
Spain,Pilar de la Horadada,64,0.5487367227506159,0.30316071415158313,0.07067659056876292,0.2562476691809294
Spain,Pilar de la Horadada,128,0.45896892348627716,0.2292121740083925,0.05968191243527001,0.18795823883673904
Spain,Pilar de la Horadada,256,0.36596716613850677,0.16611449259308986,0.06184350767148049,0.13221926541032755
Spain,Pilar de la Horadada,512,0.26279536578239904,0.11122587119594868,0.023118060383364097,0.07608617634352596
Spain,Pilar de la Horadada,1024,0.1596022961857732,0.06474250387219363,0.012479859008760035,0.051288726573938674